indo_time,speed,speed_norm,anomaly_score,is_anomaly
2025-05-27 10:58:16+00:00,23092.1,-1.7017238607917031,1.3317708740314059e+17,1
2025-05-27 10:58:17+00:00,23103.2,-1.6110405309594966,1.5052322609602147e+17,1
2025-05-27 10:58:18+00:00,23049.8,-2.047300874476524,1.6560409319249603e+17,1
2025-05-27 10:58:19+00:00,23034.9,-2.1690289478548492,5.4920008190595464e+16,1
2025-05-27 10:58:20+00:00,23042.4,-2.1077564276979652,5.482569126140539e+16,1
2025-05-27 10:58:21+00:00,23043.8,-2.0963188906020314,5.081863958504666e+16,1
2025-05-27 10:58:22+00:00,23036.9,-2.1526896091463468,4.225900558344149e+16,1
2025-05-27 10:58:23+00:00,23023.7,-2.260529244622469,3.391483866016581e+16,1
2025-05-27 10:58:24+00:00,22996.3,-2.4843781849289646,3.123570653635446e+16,1
2025-05-27 10:58:25+00:00,22999.5,-2.4582352429953547,2.838348099489249e+16,1
2025-05-27 10:58:26+00:00,22994.1,-2.502351457508323,2.8421774701999228e+16,1
2025-05-27 10:58:27+00:00,22981.0,-2.6093741260490027,2.79495309374418e+16,1
2025-05-27 10:58:28+00:00,23047.3,-2.067725047862152,4.0899091755245096e+16,1
2025-05-27 10:58:29+00:00,23016.8,-2.3168999631668146,2.905538242773766e+16,1
2025-05-27 10:58:30+00:00,23024.0,-2.2580783438161998,3.1370979456103064e+16,1
2025-05-27 10:58:31+00:00,23042.2,-2.1093903615688214,3.1901032391396428e+16,1
2025-05-27 10:58:32+00:00,23029.0,-2.2172299970449436,9.520168333457016e+16,1
2025-05-27 10:58:33+00:00,23033.2,-2.1829173857570825,1.0617002260867806e+17,1
2025-05-27 10:58:34+00:00,23038.4,-2.14043510511497,1.0465401578392982e+17,1
2025-05-27 10:58:35+00:00,23052.2,-2.027693668026309,1.0273181478479589e+17,1
2025-05-27 10:58:36+00:00,23047.8,-2.0636402131850264,2.939996245163465e+16,1
2025-05-27 10:58:37+00:00,23042.8,-2.1044885599562826,2.565739459908234e+16,1
2025-05-27 10:58:38+00:00,23034.8,-2.1698459147902924,6.486192903783935e+16,1
2025-05-27 10:58:39+00:00,23047.4,-2.066908080926709,5.658260387462005e+16,1
2025-05-27 10:58:40+00:00,23019.9,-2.2915739881686177,5.484862908052063e+16,1
2025-05-27 10:58:41+00:00,23054.5,-2.0089034285115375,2.412691290380786e+16,1
2025-05-27 10:58:42+00:00,23057.5,-1.9843944204487836,3.866781329059345e+16,1
2025-05-27 10:58:43+00:00,23044.7,-2.088966188183193,1.1234298183038778e+16,1
2025-05-27 10:58:44+00:00,23006.3,-2.4026814913864523,2.8363709023475244e+16,1
2025-05-27 10:58:45+00:00,23002.1,-2.4369941026743134,1.1724116859276314e+16,1
2025-05-27 10:58:46+00:00,22985.3,-2.574244547825728,1.8397740168104916e+16,1
2025-05-27 10:58:47+00:00,22963.1,-2.7556112074901113,1.881136520564888e+16,1
2025-05-27 10:58:48+00:00,22985.9,-2.5693427462131595,252255003.72097266,1
2025-05-27 10:58:49+00:00,23000.2,-2.452516474447373,190009852.1563543,1
2025-05-27 10:58:50+00:00,23012.4,-2.352846508325502,85542183.49414016,1
2025-05-27 10:58:51+00:00,23009.8,-2.374087648646573,46168438.381605394,1
2025-05-27 10:58:52+00:00,22990.0,-2.5358471018607416,39336371.77416641,1
2025-05-27 10:58:53+00:00,22960.2,-2.779303248617422,33178382.91724031,1
2025-05-27 10:58:54+00:00,22951.4,-2.8511963389348267,28332637.838033404,1
2025-05-27 10:58:55+00:00,22928.2,-3.040732667953461,22662568.89928132,1
2025-05-27 10:58:56+00:00,22996.8,-2.480293350251839,17912932.87623968,1
2025-05-27 10:58:57+00:00,22987.9,-2.553003407504657,14073546.39851477,1
2025-05-27 10:58:58+00:00,22998.3,-2.468038846220462,11319134.335323302,1
2025-05-27 10:58:59+00:00,23015.9,-2.3242526655856226,9594284.461916793,1
2025-05-27 10:59:00+00:00,23003.8,-2.4231056647720806,8707228.34159237,1
2025-05-27 10:59:01+00:00,23002.7,-2.432092301061745,7643699.468948423,1
2025-05-27 10:59:02+00:00,22984.2,-2.5832311841153928,6531667.267303316,1
2025-05-27 10:59:03+00:00,23001.8,-2.439445003480583,5605354.127669205,1
2025-05-27 10:59:04+00:00,22959.7,-2.7833880832945477,5079608.359980763,1
2025-05-27 10:59:05+00:00,22983.8,-2.586499051857105,4893745.644457774,1
2025-05-27 10:59:06+00:00,22989.0,-2.544016771214993,5307730.664457243,1
2025-05-27 10:59:07+00:00,23008.2,-2.3871591196133632,26145942.073862195,1
2025-05-27 10:59:08+00:00,22981.9,-2.6020214236301644,31230710.126411483,1
2025-05-27 10:59:09+00:00,22973.1,-2.673914513947599,12627369.265539778,1
2025-05-27 10:59:10+00:00,22992.8,-2.512972027668844,46416485.45545122,1
2025-05-27 10:59:11+00:00,23006.3,-2.4026814913864523,56101800.62854694,1
2025-05-27 10:59:12+00:00,22980.3,-2.6150928945969842,22954250.874793325,1
2025-05-27 10:59:13+00:00,22986.5,-2.5644409446006207,29008398.967743862,1
2025-05-27 10:59:14+00:00,22978.6,-2.628981332499217,167844991.28508815,1
2025-05-27 10:59:15+00:00,22924.9,-3.0676925768224845,157147819.67635453,1
2025-05-27 10:59:16+00:00,22964.9,-2.7409058026524353,9863756429860148.0,1
2025-05-27 10:59:17+00:00,22973.3,-2.672280580076743,4134833270387309.5,1
2025-05-27 10:59:18+00:00,22981.8,-2.6028383905656076,4526895631339736.0,1
